,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
44,ENSG00000163793,6.93457320483043,-1.06007396104669,0.499988609549461,-3.38500231189152,0.000711776550257461,0.0489662685699166
45,ENSG00000164591,46.6465889177856,-1.78091695479677,0.528383787748318,-3.9657277683164,7.31723397366046e-05,0.0166522266670827
46,ENSG00000165186,22.9182237033982,-1.68495674093954,0.529036887162595,-3.67885804099302,0.000234280620666569,0.0294708286468496
47,ENSG00000165409,21.4429023425995,-1.38020083501418,0.520766912053684,-3.9403630864876,8.13583745273072e-05,0.017057170640481
48,ENSG00000166192,16.3405499278298,-1.72369711734728,0.501188034542641,-3.5530818088159,0.000380746037659064,0.0372517692734099
49,ENSG00000167281,19.6916838201671,-1.84342742280946,0.521252002665232,-3.8800743401467,0.000104424543588274,0.0193581119698221
50,ENSG00000168280,29.5154666948223,-1.68435825497486,0.49907271399567,-3.51803923794069,0.000434748074377009,0.0387967790430685
51,ENSG00000168658,17.8891119355744,-1.77342311150495,0.524429159527121,-3.74938552160316,0.000177268394871192,0.0249378511821027
52,ENSG00000168676,11.9032301024159,-1.71536044934456,0.529767902503865,-3.87176762560149,0.000108048936053843,0.0196170083798373
53,ENSG00000172742,19.1416852148202,-1.95408388190645,0.527968341623961,-4.3343313262509,1.46203837359415e-05,0.00781223438707174
54,ENSG00000173826,19.3463563901879,-2.03151352445407,0.520997402252899,-4.28986051580463,1.78785370613591e-05,0.00828576095230514
55,ENSG00000173928,56.8694309337715,-1.79170237267808,0.491426847450493,-3.77736288652453,0.000158497711535801,0.0236599028508724
56,ENSG00000174915,64.768276269564,-1.35344119767642,0.393328179507867,-3.45853663763074,0.000543118398419799,0.0428917404240855
57,ENSG00000175985,13.1127111889173,-1.66137769634165,0.528793584594706,-3.5557017049174,0.000376971599521347,0.0372517692734099
58,ENSG00000176049,51.6413942081071,-1.80809668722376,0.523537873475631,-3.86120261360186,0.000112830286369322,0.0199388862085322
59,ENSG00000177291,6.51956118972609,-1.45085237078226,0.520731275785639,-4.0728182100765,4.64476773361153e-05,0.0138642380604462
60,ENSG00000177640,18.2858241597665,-1.48959266131621,0.442700042312882,-3.39268108016814,0.000692121686695131,0.0487470107248994
61,ENSG00000177993,33.5085810397165,-1.04095158101792,0.495332352211141,-4.65125522892131,3.29920702516505e-06,0.00446941037847551
62,ENSG00000179743,47.2059638614796,-2.02571939169115,0.522863961649838,-4.40367985898828,1.06429968041087e-05,0.00693360243322064
63,ENSG00000180347,9.6865557969753,-1.17951007005869,0.509892726276381,-3.49903247292127,0.000466949708554666,0.0400762731327562
64,ENSG00000180998,18.6888075829257,-1.68051553904872,0.525533637687629,-3.52302761914331,0.000426646897227594,0.038534905879
65,ENSG00000181518,20.4596581655822,-1.83986585327037,0.523383685459288,-3.89379472126452,9.86881715525052e-05,0.0190497393558806
66,ENSG00000182648,45.1068875121056,-2.0639415321933,0.492684972443055,-4.36432114999278,1.27518127200845e-05,0.00774386806253134
67,ENSG00000183292,32.3562171480584,-1.71352930936474,0.52963062357846,-4.16586227997996,3.10177919715821e-05,0.0111480476410517
68,ENSG00000184414,18.2031305254101,-1.67704192044569,0.517095255520354,-3.45110192369178,0.000558302684549073,0.0431622423341157
69,ENSG00000184949,42.8896866839701,-1.46555202424961,0.42390451782989,-3.4825479383047,0.000496666286974214,0.0412584433014287
70,ENSG00000185873,20.5871152365591,-1.61674573005774,0.529551486253703,-3.78939802852095,0.000151012784248133,0.0233288258192445
71,ENSG00000186197,15.7760790889594,-1.71872390952124,0.527069170646233,-3.65218822083731,0.00026001518828756,0.0299289377838707
72,ENSG00000186399,11.4738839092077,-1.45314494802819,0.523363641924091,-3.81831528623163,0.000134366134253569,0.0221151587882206
73,ENSG00000186487,59.5045361864114,-1.79895741489035,0.508578935768927,-3.75689484241649,0.000172034744072931,0.0248336383431835
74,ENSG00000186628,27.2660889054835,-1.85444190142711,0.529761953915465,-4.46455373115309,8.02358120414192e-06,0.00669489016296188
75,ENSG00000187021,13.3258524281826,-1.36214904453769,0.518376407883637,-3.94480078281225,7.98663482696565e-05,0.0169949853212456
76,ENSG00000187741,94.6856348005482,-1.56496677941233,0.438056529880124,-3.61586361815239,0.00029934795546434,0.0327442039980279
77,ENSG00000187905,43.3185204979381,-1.53866944889784,0.529722684979123,-3.42327514607612,0.000618714159221368,0.0467412397947268
78,ENSG00000187997,39.8442882626267,-1.24552422886558,0.515321070374436,-3.73778978853038,0.000185645059043179,0.0249572147695376
79,ENSG00000189229,21.8534774150426,-1.98363358439744,0.527588647790695,-4.39605027316116,1.10238412429832e-05,0.00693360243322064
80,ENSG00000189332,22.7944988421635,-1.42903320903567,0.526003621802934,-3.60180270203044,0.0003160181710076,0.0337296727855445
81,ENSG00000189367,31.836294211835,-1.71787114609922,0.495336896976975,-3.58889181212874,0.000332086608499071,0.0346057826170245
82,ENSG00000196832,37.1913760334425,-1.69685567447568,0.510787403695154,-3.52206754258984,0.000428195032846209,0.038534905879
83,ENSG00000197168,47.6752518411512,-1.72968661023064,0.484745233579745,-3.67180716963529,0.000240841378778718,0.0297874910465174
84,ENSG00000197428,9.54117037197344,-1.3268006337505,0.51809935653502,-3.83680428918632,0.000124645727176715,0.0213119990418362
85,ENSG00000199732,6.04396714743641,-1.0990078255187,0.499369384840328,-3.44634420101213,0.00056822610778019,0.0433334982673315
86,ENSG00000203531,19.2417748077857,-1.63243113211039,0.528892801085617,-4.00315394186515,6.25036022502694e-05,0.0157250134175642
87,ENSG00000203593,10.2596186062525,-1.80797190984737,0.529510016965249,-4.2761436853943,1.90158517778995e-05,0.0085868760425792
88,ENSG00000205181,20.9294153593531,-1.47335319704326,0.527532665808926,-3.58224523978242,0.000340653767805162,0.0350806866425093
89,ENSG00000206579,22.5702058997411,-1.65585921180531,0.528740929877825,-3.622663003066,0.000291585599193355,0.0322963143861269
90,ENSG00000213590,40.1562147368103,-1.69167531837063,0.493066055511277,-3.54693114004341,0.000389746446924616,0.0377133223999418
