,log2FoldChange,gene_id,gene_name
ENSG00000241322,-1.69365842664085,ENSG00000241322,RP11-499P20.2
ENSG00000241959,-1.05766572260209,ENSG00000241959,RP11-54O7.2
ENSG00000243029,-1.17311993552804,ENSG00000243029,CDRT1
ENSG00000243150,-1.58074113328898,ENSG00000243150,RN7SL76P
ENSG00000244036,-1.44256387585983,ENSG00000244036,RN7SL635P
ENSG00000244681,-1.93757999185104,ENSG00000244681,RP11-538P18.2
ENSG00000246174,-1.66046138923483,ENSG00000246174,RP11-306G20.1
ENSG00000246777,-1.5562433786773,ENSG00000246777,MTHFD2P1
ENSG00000249349,-1.3558215788618,ENSG00000249349,KCTD21-AS1
ENSG00000249616,-1.43348562148156,ENSG00000249616,RP11-61A14.4
ENSG00000249786,-1.42382346556055,ENSG00000249786,CTC-384G19.1
ENSG00000251229,-1.26387310290066,ENSG00000251229,CCNB3P1
ENSG00000251249,-1.70739840060357,ENSG00000251249,EAF1-AS1
ENSG00000251396,-1.82064944582928,ENSG00000251396,RP11-503N18.5
ENSG00000251600,-1.4062533462506,ENSG00000251600,RP11-73G16.1
ENSG00000253623,-1.39991799007078,ENSG00000253623,LINC01301
ENSG00000254811,-1.82617863515016,ENSG00000254811,RP11-673E1.1
ENSG00000255303,-2.04948691381575,ENSG00000255303,RP11-346I3.2
ENSG00000257127,-1.67498526476267,ENSG00000257127,RP11-680E19.1
ENSG00000257159,-1.23820987176278,ENSG00000257159,OR5BA1P
ENSG00000258881,-1.5946638400485,ENSG00000258881,CLLU1
ENSG00000258891,-1.51840109068875,ENSG00000258891,RP11-58A17.3
ENSG00000259370,-1.68304367830395,ENSG00000259370,AC007040.11
ENSG00000259439,-1.2413678242351,ENSG00000259439,RP5-1021I20.5
ENSG00000259523,-1.16980408497884,ENSG00000259523,RP11-1069G10.1
ENSG00000259697,-1.60439522616325,ENSG00000259697,LINC01833
ENSG00000260163,-1.66028784748229,ENSG00000260163,RP11-680F8.3
ENSG00000260212,-1.27533958660945,ENSG00000260212,RP11-299H22.1
ENSG00000260249,-1.58535508678209,ENSG00000260249,RP11-521O16.2
ENSG00000260626,-1.57663791629858,ENSG00000260626,RP11-325O24.5
ENSG00000260742,-2.05620623992325,ENSG00000260742,RP11-401P9.5
ENSG00000260918,-1.21698167416987,ENSG00000260918,RP11-23E10.3
ENSG00000261121,-1.49373565002349,ENSG00000261121,RP11-366L5.1
ENSG00000261205,-1.52355532352858,ENSG00000261205,RP11-731J8.2
ENSG00000261315,-1.25269255122214,ENSG00000261315,LINC02473
ENSG00000261821,-1.28442494043944,ENSG00000261821,NIFKP4
ENSG00000261822,-1.66759749113971,ENSG00000261822,LARP4P
ENSG00000261924,-1.80222148270892,ENSG00000261924,CTD-2311M21.3
ENSG00000261997,-1.89788067243869,ENSG00000261997,RP11-265N6.2
ENSG00000264352,-1.00789807393256,ENSG00000264352,CTD-2561B21.5
ENSG00000264964,-1.45264510886145,ENSG00000264964,RP11-212I21.4
ENSG00000265739,-1.13494748650243,ENSG00000265739,RN7SL602P
ENSG00000266200,-1.47243802137946,ENSG00000266200,TWSG1-DT
ENSG00000266908,-1.54566616139601,ENSG00000266908,RP11-354P11.3
ENSG00000267559,-1.97448334912291,ENSG00000267559,PNLIPRP2
ENSG00000267672,-1.70398352264589,ENSG00000267672,RP5-1022P6.7
ENSG00000267779,-1.56771267755785,ENSG00000267779,RP11-383M4.6
ENSG00000269667,-1.51832636879156,ENSG00000269667,CTD-2293H3.1
ENSG00000273382,-1.64597758757145,ENSG00000273382,LINC01533
ENSG00000273706,-1.14832943044806,ENSG00000273706,RP11-542M13.2
ENSG00000273769,-1.29059845685215,ENSG00000273769,TMEM167B-DT
ENSG00000274135,-1.62499722554296,ENSG00000274135,LHX1
ENSG00000274516,-1.55254890752511,ENSG00000274516,LCA10
ENSG00000274701,-1.78195890343858,ENSG00000274701,Metazoa_SRP
ENSG00000278002,-1.55450481779652,ENSG00000278002,Metazoa_SRP
ENSG00000278920,-1.90467308158049,ENSG00000278920,LINC02227
ENSG00000279077,-1.60446144921784,ENSG00000279077,RP11-596C23.2
ENSG00000279080,-1.69731157534749,ENSG00000279080,RP3-412A9.17
ENSG00000279085,-1.419865789566,ENSG00000279085,RP11-800A18.3
ENSG00000279110,-1.58885461632343,ENSG00000279110,CTA-228A9.4
ENSG00000279147,-1.77311926883402,ENSG00000279147,CTA-243E7.4
ENSG00000279159,-1.66663064651305,ENSG00000279159,CTA-243E7.1
ENSG00000279278,-1.38074710635822,ENSG00000279278,RP11-271K21.12
ENSG00000279762,-1.192730581564,ENSG00000279762,RP3-394A18.1
ENSG00000280244,-1.41460333999195,ENSG00000280244,CH17-264L24.1
ENSG00000280429,-2.16111785935576,ENSG00000280429,RP11-227G15.12
ENSG00000281344,-1.78138898177636,ENSG00000281344,RP11-44N21.3
ENSG00000284601,-1.80867451670181,ENSG00000284601,AF001548.3
ENSG00000284607,-1.63372818652062,ENSG00000284607,HELLPAR
ENSG00000285219,-1.69213381288012,ENSG00000285219,RP11-12C17.3
ENSG00000286071,-1.25084058603529,ENSG00000286071,CTA-14H9.7
ENSG00000286249,-1.98885491392637,ENSG00000286249,HULC
ENSG00000286288,-1.43319741463485,ENSG00000286288,DISC2
ENSG00000286662,-1.55634277322077,ENSG00000286662,RP11-475H17.1
ENSG00000286679,-1.69600230132797,ENSG00000286679,RP5-968J1.1
ENSG00000287067,-1.73693946980418,ENSG00000287067,RP11-749H20.1
ENSG00000287077,-1.4016546618028,ENSG00000287077,RP11-81F8.1
ENSG00000287087,-1.54175038491787,ENSG00000287087,RP11-381K20.5
ENSG00000287185,-1.13212518788281,ENSG00000287185,RP11-322M19.5
ENSG00000287271,-1.68361678610169,ENSG00000287271,CTD-2081C10.8
ENSG00000287475,-1.26812649661407,ENSG00000287475,RP11-69M11.1
ENSG00000287896,-1.33753297156318,ENSG00000287896,CTB-189B5.4
ENSG00000287980,-1.2482234654409,ENSG00000287980,RP11-396M20.3
ENSG00000288033,-1.18247750979723,ENSG00000288033,RP11-43N16.7
ENSG00000288095,-1.81977705209763,ENSG00000288095,RP11-506J19.1
ENSG00000288598,-1.24905132979592,ENSG00000288598,RP13-46H24.3
ENSG00000134827,1.90355813818213,ENSG00000134827,AC005618.10
ENSG00000210135,1.81947934877989,ENSG00000210135,RP11-157L14.5
